"SKU","Product","Package ID","Category","Tags","Strain","Vendor","Room","Available","Unit price (Inventory)","Cost","External package ID","Testing status","Testing status text","Is finished in METRC","THC","THCA","THC-D9","CBD","CBDA","CBN","Inventory date","Expiration date","Packaging date","Date of manufacture","Unit","Master category","Type","Flower equiv","Alternate description","Is cannabis","Is coupon","Is additive","Is available online","Is POS available","Is Retired","Is on sale","Taxable","Brand","Online title","Online Description","Image URL","External category","Net weight","Gross weight","Instructions","Allergens","Ingredients","Days supply","Product size","Package NDC","Allocated quantity","Quantity (including allocated)","SubRoom name","Harvest date","Producer","On hold","Last audited date","Status","Batch","Calculated THC (mg)","Current price","Price (Catalog)","Location price (Catalog)","Available for"
50359713,The Botanist | Banana Punch | Fruit Chews | 2pk | 98.14mg | Sativa,1A4070300002649000008585,Edibles,,Sativa,Greenleaf Therapeutics,Sales Floor,40,14.46,7.23,1A4070300002649000008585,TestPassed,,false,98.14 mg,,,0.00 mg,,0.60 mg,2/20/2025,1/8/2026,2/24/2025,2/21/2025,qty,Edibles,Qty,2.83g,,Yes,No,false,Yes,Yes,No,false,Yes,The Botanist,,,,,,0,,,,1,,M00000977210,,40,,,,false,,,1A4070300002649000008585,98.1,14.46,14.46,,All enabled customer types
13279689,The Botanist | RSO | Capsules | 4pk | 99.88mg,1A4070300002649000008587,Edibles,,No Strain,Greenleaf Therapeutics,Sales Floor,39,15.3,7.65,1A4070300002649000008587,TestPassed,,false,99.88 mg,,,0.28 mg,,0.80 mg,2/20/2025,1/13/2026,2/24/2025,2/21/2025,qty,Edibles,Qty,2.83g,,Yes,No,false,Yes,Yes,No,false,Yes,The Botanist,,,,,,0,,,,1,,M00001038610,,39,,,,false,,,1A4070300002649000008587,99.9,15.3,15.3,,All enabled customer types
07877347,The Botanist | RSO | Capsules | 2pk | 99.16mg,1A4070300002649000008588,Edibles,,No Strain,Greenleaf Therapeutics,Sales Floor,40,15.3,7.65,1A4070300002649000008588,TestPassed,,false,99.16 mg,,,0.28 mg,,0.96 mg,2/20/2025,12/23/2025,2/24/2025,2/21/2025,qty,Edibles,Qty,2.83g,,Yes,No,false,Yes,Yes,No,false,Yes,The Botanist,,,,,,0,,,,1,,M00001038609,,40,,,,false,,,1A4070300002649000008588,99.2,15.3,15.3,,All enabled customer types
12960600,The Botanist | Tincture | 1:1:1 | 30mL | 202.98mg,1A4070300002649000008589,Tinctures,,No Strain,Greenleaf Therapeutics,Sales Floor,18,25.5,12.75,1A4070300002649000008589,TestPassed,,false,202.98 mg,,,194.50 mg,,,2/20/2025,1/28/2026,2/24/2025,2/21/2025,qty,Tinctures,Qty,5.66g,,Yes,No,false,Yes,Yes,No,false,Yes,The Botanist,,,,,,0,,,,2,,M00001130301,,18,,,,false,,,1A4070300002649000008589,203,25.5,25.5,,All enabled customer types
17635590,The Botanist | Tincture | 2:1 | 30mL | 297.05mg,1A4070300002649000008590,Tinctures,,2:1,Greenleaf Therapeutics,Sales Floor,18,25.5,12.75,1A4070300002649000008590,TestPassed,,false,297.05 mg,,,577.12 mg,,,2/20/2025,1/23/2026,2/24/2025,2/21/2025,qty,Tinctures,Qty,8.49g,,Yes,No,false,Yes,Yes,No,false,Yes,The Botanist,,,,,,0,,,,3,,M00001130302,,18,,,,false,,,1A4070300002649000008590,297.1,25.5,25.5,,All enabled customer types
01626230,Superflux | Donny Burger | Live Rosin Concentrate | 1g | Indica,1A4070300002649000008591,Concentrates,,Indica,Greenleaf Therapeutics,Sales Floor,5,51,25.5,1A4070300002649000008591,TestPassed,,false,663.36 mg,,,0.00 mg,,,2/20/2025,1/16/2026,2/24/2025,2/21/2025,qty,Concentrates,Qty,5.66g,,Yes,No,false,Yes,Yes,No,false,Yes,Superflux,,,,,,0,,,,2,,M00001134413,,5,,,,false,,,1A4070300002649000008591,663.4,51,51,,All enabled customer types
53902874,Superflux | Gelato Zkittles Cake | Flower | 2.83g | Indica,1A4070300002649000008593,Flower,,Indica,Greenleaf Therapeutics,Sales Floor,79,25.5,1,1A4070300002649000008593,TestPassed,,false,26.40 %,,,0.00 %,,,2/20/2025,6/13/2025,2/24/2025,2/21/2025,qty,Flower,Qty,2.83g,,Yes,No,false,Yes,Yes,No,false,Yes,Superflux,,,,,,0,,,,1,,M00000815108,,79,,,,false,,,1A4070300002649000008593,747.1,25.5,25.5,,All enabled customer types
97949905,Firebrand Infusions | Volcanic Frost | Infused Flower | 1g | Hybrid,1A4070300002711000000612,Concentrates,,Hybrid,Appalachian Pharm,Sales Floor,31,36,18,1A4070300002711000000612,TestPassed,,false,556.00 mg,,,,,,2/3/2025,12/6/2025,2/4/2025,2/3/2025,qty,Concentrates,Qty,2.83g,,Yes,No,false,Yes,Yes,No,false,Yes,Firebrand Infusions,,,,,,0,,,,1,,,,31,,,,false,,,1A4070300002711000000612,556,36,36,,All enabled customer types
74202380,Firebrand Infusions | BLZ BRY Kush | Infused Flower | 1g | Sativa,1A4070300002711000000613,Concentrates,,Sativa,Appalachian Pharm,Sales Floor,34,36,18,1A4070300002711000000613,TestPassed,,false,491.00 mg,,,,,,2/3/2025,12/6/2025,2/4/2025,2/3/2025,qty,Concentrates,Qty,2.83g,,Yes,No,false,Yes,Yes,No,false,Yes,Firebrand Infusions,,,,,,0,,,,1,,,,34,,,,false,,,1A4070300002711000000613,491,36,36,,All enabled customer types
68875402,Revibe | Chocolate | Syrup | 103.60mg,1A4070300002711000000614,Edibles,,No Strain,Appalachian Pharm,Backstock,20,20,10,1A4070300002711000000614,TestPassed,,false,103.60 mg,,,,,,2/3/2025,1/14/2026,2/26/2025,2/3/2025,qty,Edibles,Qty,2.83g,,Yes,No,false,Yes,Yes,No,false,Yes,Revibe,,,,,,0,,,,1,,,,20,,,,false,,,1A4070300002711000000614,103.6,20,20,,All enabled customer types
72019916,Appalachian Pharm | Windu | Flower | 2.83g | Hybrid,1A4070300002711000000616,Flower,,Hybrid,Appalachian Pharm,Sales Floor,34,35,17.5,1A4070300002711000000616,TestPassed,,false,27.20 %,,,,,,2/3/2025,9/30/2025,2/4/2025,2/3/2025,qty,Flower,Qty,2.83g,,Yes,No,false,Yes,Yes,No,false,Yes,Appalachian Pharm,,,,,,0,,,,1,,,,34,,,,false,,,1A4070300002711000000616,769.8,35,35,,All enabled customer types
71050451,Revibe | 1:3 Lemon Creme | Nano Gummies | 10pk | 100.44mg,1A4070300002711000000618,Edibles,,1:3,Appalachian Pharm,Sales Floor,23,20,10,1A4070300002711000000618,TestPassed,,false,100.44 mg,,,,,,2/3/2025,1/8/2026,2/4/2025,2/3/2025,qty,Edibles,Qty,2.83g,,Yes,No,false,Yes,Yes,No,false,Yes,Revibe,,,,,,0,,,,1,,,,23,,,,false,,,1A4070300002711000000618,100.4,20,20,,All enabled customer types
98344797,Vapen | Black Soap  | Batter | .84g | Sativa,1A4070300002711000000619,Concentrates,,Sativa,Appalachian Pharm,Sales Floor,18,44,22,1A4070300002711000000619,TestPassed,,false,560.00 mg,,,,,,2/3/2025,12/11/2025,2/4/2025,2/3/2025,qty,Concentrates,Qty,2.83g,,Yes,No,false,Yes,Yes,No,false,Yes,Vapen,,,,,,0,,,,1,,,,18,,,,false,,,1A4070300002711000000619,560,44,44,,All enabled customer types
68939910,Vapen | Gelato | Cartridge | .5g,1A4070300002711000000620,Cartridges,,No Strain,Appalachian Pharm,Sales Floor,8,22,11,1A4070300002711000000620,TestPassed,,false,357.00 mg,,,,,,2/3/2025,9/23/2025,2/4/2025,2/3/2025,qty,Cartridges,Qty,2.83g,,Yes,No,false,Yes,Yes,No,false,Yes,Vapen,,,,,,0,,,,1,,,,8,,,,false,,,1A4070300002711000000620,357,22,22,,All enabled customer types
25491180,Revibe | Summer Melon | Gummies | 11pk | 465.12mg,1A4070300002711000000621,Edibles,,No Strain,Appalachian Pharm,Sales Floor,30,54,27,1A4070300002711000000621,TestPassed,,false,465.12 mg,,,,,,2/3/2025,1/13/2026,2/4/2025,2/3/2025,qty,Edibles,Qty,14.15g,,Yes,No,false,Yes,Yes,No,false,Yes,Revibe,,,,,,0,,,,5,,,,30,,,,false,,,1A4070300002711000000621,465.1,54,54,,All enabled customer types
22654722,Appalachian Pharm | Ice Cream Cake | Flower | 14.15g | Indica,1A4070300002711000002583,Flower,,Indica,Appalachian Pharm,Sales Floor,27,162,81,1A4070300002711000002583,TestPassed,,false,22.60 %,,,,,,12/26/2024,9/9/2025,12/27/2024,12/26/2024,qty,Flower,Qty,14.15g,,Yes,No,false,Yes,Yes,No,false,Yes,Appalachian Pharm,,,,,,0,,,,5,,,,27,,,,false,,,1A4070300002711000002583,3197.9,162,162,,All enabled customer types
87065897,Vapen | FRT PNCH | Distillate DVP | .84g,1A4070300002711000002584,Disposable Vape Pen,,No Strain,Appalachian Pharm,Sales Floor,19,46,23,1A4070300002711000002584,TestPassed,,false,612.00 mg,,,,,,12/26/2024,11/12/2025,1/10/2025,12/26/2024,qty,DVP,Qty,2.83g,,Yes,No,false,Yes,Yes,No,false,Yes,Vapen,,,,,,0,,,,1,,,,19,,,,false,,,1A4070300002711000002584,612,46,46,,All enabled customer types
12917538,Vapen | Blue Razz | Distillate DVP | .84g,1A4070300002711000002585,Disposable Vape Pen,,No Strain,Appalachian Pharm,Sales Floor,23,46,23,1A4070300002711000002585,TestPassed,,false,622.00 mg,,,,,,12/26/2024,10/17/2025,1/10/2025,12/26/2024,qty,DVP,Qty,2.83g,,Yes,No,false,Yes,Yes,No,false,Yes,Vapen,,,,,,0,,,,1,,,,23,,,,false,,,1A4070300002711000002585,622,46,46,,All enabled customer types
64787103,Appalachian Pharm | Permanent Marker | Flower | 14.15g | Indica,1A4070300002711000002586,Flower,,Indica,Appalachian Pharm,Sales Floor,23,162,81,1A4070300002711000002586,TestPassed,,false,26.40 %,,,,,,12/26/2024,9/16/2025,1/13/2025,12/26/2024,qty,Flower,Qty,14.15g,,Yes,No,false,Yes,Yes,No,false,Yes,Appalachian Pharm,,,,,,0,,,,5,,,,23,,,,false,,,1A4070300002711000002586,3735.6,162,162,,All enabled customer types
92886052,Appalachian Pharm | GMO Rootbeer | Flower | 14.15g | Hybrid,1A4070300002711000002587,Flower,,Hybrid,Appalachian Pharm,Sales Floor,18,162,81,1A4070300002711000002587,TestPassed,,false,28.40 %,,,,,,12/26/2024,9/16/2025,12/27/2024,12/26/2024,qty,Flower,Qty,14.15g,,Yes,No,false,Yes,Yes,No,false,Yes,Appalachian Pharm,,,,,,0,,,,5,,,,18,,,,false,,,1A4070300002711000002587,4018.6,162,162,,All enabled customer types
